30 Yunnan
>迪庆藏族自治州 Dêqên Tibetan
>红河哈尼族彝族自治州 Honghe Hani and Yi
>丽江市 Lijiang
>保山市 Baoshan
>玉溪市 Yuxi
>昆明市 Kunming
>楚雄彝族自治州 Chuxiong Yi
>怒江傈僳族自治州 Nujiang Lisu
>大理白族自治州 Dali Bai
>文山壮族苗族自治州 Wenshan Zhuang and Miao
>昭通市 Zhaotong
>西双版纳傣族自治州 Xishuangbanna Dai
>德宏傣族景颇族自治州 Dehong Dai and Jingpo
>曲靖市 Qujing
>普洱市 Pu'er
>临沧市 Lincang
31 Zhejiang
>湖州市 Huzhou
>衢州市 Quzhou
>舟山市 Zhoushan
>绍兴市 Shaoxing
>丽水市 Lishui
>杭州市 Hangzhou
>金华市 Jinhua
>宁波市 Ningbo
>温州市 Wenzhou
>嘉兴市 Jiaxing
>台州市 Taizhou
